PID,Media,Field text value,Field text format,CTAs URI,CTAs title,CTAs target,CTAs rel,CTAs class,Media width class,Media position,Title level,Title,Sub title,Paragraph CSS Class,Background color
faq_1,,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.</p>",full_html,,,,,,0,0,h1,Questions les plus fréquemment posées,Lorem ipsum,,
faq_2,,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat</p>",full_html,,,,,,0,0,h2,Comment installer Drupal en français sur Windows 2000 ?,Installation,,
communaute_1,image_communaute_1,"<p>Présents dans toute la France, nous organisons des évènements toute l'année.</p>",full_html,,,,,,6,0,h1,La communauté Drupal francophone,des événements et rencontre proches de chez vous,,
association_1,image_l_association_1,"<p>Être adhérent, c'est participer à l'action commune. Pour cela nous avons mis en place des commissions. Les commissions sont des groupes autonomes qui interviennent sur un sujet de vie précis de l'association, plus de détail sur les commissions.</p>

<p>L'association Drupal France et Francophonie a besoin de vos adhésions pour remplir ses missions. Adhérer c'est donc contribuer à la communauté Francophone.</p>

<p>Envie de participer ? Trouvez le groupe local le plus proche de chez vous.</p>

<p>Envie de s'investir ? Adhérez à l'association pour nous aider à organiser nos prochains rendez-vous.</p>
",full_html,internal:/;entity:node:page_organization_membership,J'adhère à l'association ou je renouvelle;Adhésion organisme,,,button secondary;button secondary,4,0,h1,L'association Drupal France,Lorem ipsum dolor sit amet,,
adhesion_1,image_l_association_1,"<p>Être adhérent, c'est participer à l'action commune. Pour cela nous avons mis en place des commissions. Les commissions sont des groupes autonomes qui interviennent sur un sujet de vie précis de l'association, plus de détail sur les commissions.</p>

<p>L'association Drupal France et Francophonie a besoin de vos adhésions pour remplir ses missions. Adhérer c'est donc contribuer à la communauté Francophone.</p>
",full_html,internal:/;entity:node:page_organization_membership,J'adhère à l'association ou je renouvelle;Adhésion organisme,,,button secondary;button secondary,4,0,h1,Pourquoi adhérer ?,Participer activement à l'association,,
dummy_1,image_adherer,"<p>Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum.</p>",full_html,,,,,,2,0,h2,,,,
contribuer_1,,"<p>Vous souhaitez commencer à contribuer à Drupal, mais vous ne savez pas ce que vous pouvez faire ? Commencez par <a href=""http://drupal-fr.github.io/contribuer-drupal/"" rel=""nofollow"">consulter la présentation</a> créée par <a href=""https://twitter.com/Artusamak"" rel=""nofollow"">Artusamak</a> et par <a href=""https://twitter.com/simongeorges"" rel=""nofollow"">Saisai</a>, disponible sur <a href=""http://drupal-fr.github.io/contribuer-drupal//"" rel=""nofollow"">GitHub</a>. Ensuite, venez discuter sur le <a href=""http://drupalfr.org/irc"" rel=""nofollow"">salon IRC</a> de la communauté française, nous vous aiderons à démarrer ;-)</p>",full_html,,,,,,0,0,h3,Comment on contribue ?,,,
contribuer_2,,"<p><strong>Vous pouvez aider l'équipe de traduction !</strong> Vous trouverez pas mal de document sur <a href=""https://localize.drupal.org/translate/languages/fr"" rel=""nofollow"">l'espace de la <em>French Translation Team</em></a>. Pour plus d'aide, contactez pomliane, izus, sebcorbin, saisai ou loR sur le salon IRC #drupal-fr, ils vous aideront.</p>",full_html,,,,,,0,0,h3,Si vous n'avez aucune compétence de codeur,,,
contribuer_3,,"<p>Ca tombe bien, on a plein d'idées pour vous :</p><ul><li>Pour le cœur de Drupal, il y a déjà plein de procédures en place : les issues ""Novice"", les ""Offices Hours"", toute la documentation (en anglais) est disponible sur <a href=""https://drupal.org/contribute"" rel=""nofollow"">https://drupal.org/contribute</a> ;</li>
<li>Si vous voulez aider la contrib, voici une liste de tâches relativement faciles que vous pouvez faire sur un module que vous aimez bien :
<ul><li>Vérifiez la compatibilité avec PHP 5.4 (<a href=""http://www.oakleys.org.uk/blog/2013/06/php_55_release_and_drupal"">http://www.oakleys.org.uk/blog/2013/06/php_55_release_and_drupal</a>) ;</li>
<li>Vous pouvez aider à trier les issues : fermez les doublons, testez les patchs, apportez des précisions sur les bugs, ... ;</li>
<li>Vous pouvez vérifier que les .info ne contiennent pas d'informations inutiles (directives files[] sur des fichiers ne contenant pas de classes, ...) ;</li>
<li>Vous pouvez vérifier que les CSS / JS sont bien ajoutés sur les formulaires et les blocs avec ['#attached'] plutôt que par des drupal_add_css() ou drupal_add_js() ;</li>
<li>Vous pouvez vérifier que les JS / CSS sont inclus via le fichier .info plutôt que le hook_init() (<a href=""https://drupal.org/node/1922332"" rel=""nofollow"">exemple de patch</a>) ;
</li><li>Vous pouvez vérifier que les requêtes AJAX ajoutent la classe CSS ""changed"" au contenu modifié, pour permettre une meilleure accessibilité (<a href=""https://drupal.org/node/1922376"" rel=""nofollow"">exemple de patch</a>) ;</li>
<li>Vous pouvez simplifier les CSS / JS des modules, vous assurer qu'ils ne perturbent pas le fonctionnement du cœur ;</li>
<li>Vous pouvez surtout vérifier que toutes les chaînes sont traduisibles, qu'il n'y a pas de faux doublons (des chaînes qui se ressemblent et qui devraient être identiques) qui entraînent trop de travail pour les traducteurs, vous pouvez vérifier qu'il n'y a pas de chaîne inutile, ... ;</li>
</ul></li></ul>",full_html,,,,,,0,0,h3,Vous êtes codeur,,,
contribuer_4,,"<p>Prenez un module, et demandez-vous s'il manque de :</p><ul><li>traduction (c'est l'occasion de réviser la grammaire française) ;</li>
<li>performance (c'est l'occasion d'apprendre enfin comment fonctione EXPLAIN en base de données, ou le cache statique de PHP) ;</li>
<li>accessibilité (c'est l'occasion de découvrir WAI-ARIA, le RGAA, et toutes ces choses magnifiques que vous pensiez théoriques) ;</li>
<li>règles de codage (passer Coder sur le module est à la portée de tout le monde, et vous connaîtrez par coeur les règles de codage Drupal) ;</li>
<li>documentation (un petit README, un post de blog, une page sur drupal.org expliquant comment utiliser le module, par exemple, tout est bon à prendre) ;</li>
</ul>",full_html,,,,,,0,0,h3,En résumé,,,
contribuer_5,,"<p>Contribuer, c'est changer votre regard sur les choses. C'est passer de ""il est bien ce module"" à ""comment puis-je le rendre meilleur ?"".</p>",full_html,,,,,,0,0,h1,Envie de participer à l'aventure ?,Vous avez bien raison mon bon monsieur (Ma bonne dame) !,,
documentation_1,image_documentation_1,"<p>La documentation officielle de Drupal se situe sur <a href=""https://drupal.org"">son site communautaire</a> où elle est traduite par la communauté dans les différentes langues proposées.</p><p>Vous trouverez sur la page actuelle les différents moyens de récupération de cette documentation.</p>",full_html,,,,,,4,0,h1,Documentation,Documentation officielle de Drupal en Français,head_homepage,#064771
documentation_2,image_documentation_1,<p>Le plus simple est de consulter la version en ligne.</p>,full_html,https://www.drupal.org/fr/docs/user_guide/fr/index.html,Version en ligne,,,button secondary large,6,0,h2,En ligne,Version en ligne de la documentation,,
documentation_3,image_documentation_1,"<p>Vous pouvez télécharger la documentation sous forme de fichiers PDF ou Ebook.</p><p>À chaque sortie d'une nouvelle version de la documentation, ces fichiers sont mis à jour.</p><p>Pour télécharger le fichier, faîtes un clic droit sur le lien « plain » en face du fichier souhaité, puis faîtes « enregistrer le lien sous ».</p>",full_html,http://cgit.drupalcode.org/user_guide/tree/ebooks,PDF / Ebook,,,button secondary large,6,1,h2,PDF,La documentation sous forme de fichiers,,
documentation_4,image_documentation_1,<p>Vous pouvez contribuer à la documentation en vous rendant sur la page du projet du guide utilisateur.</p>,full_html,https://www.drupal.org/project/user_guide,Projet Drupal.org,,,button secondary large,6,0,h2,Contribuer,Contribuer à la documentation,,
recherche_1,,,,,,,,,0,0,h1,Recherche,,,
news_1,,<p>En direct</p>,full_html,,,,,,0,0,h1,Les actus de l'asso,,,
organization_membership_1,,"<p>L'adhésion est valable pour une année de date à date, à compter de la date de réception du paiement.<br />
La cotisation correspond au nombre de salariés équivalent temps plein x 30 € dans un maximum de 900€ net.</p>

<p>Le règlement est possible par virement :</p>

<p>IBAN : FR76 1027 8061 4900 0200 9760 149<br />
BIC : CMCIFR2A</p>

<p>Ou par chèque, à l'ordre de « Association Drupal France et Francophonie » et à envoyer à l'adresse suivante :</p>

<p>Association Drupal France et Francophonie<br />
Adhésions<br />
21 Place de la République<br />
75003 Paris</p>

<p>Une facture vous sera transmise par e-mail une fois votre paiement reçu.</p>
",full_html,,,,,,0,0,h1,Adhésion organisme,,,
slack_left_1,,"<p>L'association propose maintenant l'outil Slack pour la communauté francophone.</p>

<p>Qu'est-ce qu'un slack ? C'est un ensemble de canaux de discussions sur une thématique données. Une sorte de chat mais compartimenté par thèmes (Développement, supports, groupes locaux, traduction...)</p>",full_html,,,,,,0,0,,,,,
slack_left_2,,"<p>Slack permet à la fois de se connecter au salon via votre navigateur (c'est ce qu'il se passera automatiquement en suivant les étapes ci-dessus) mais vous pouvez également&nbsp;<a href=""https://slack.com/intl/fr-fr/download"">télécharger</a>&nbsp;un client lourd qui permet des fonctionnalités un peu plus poussées (le partage d'écran notamment).</p>",full_html,,,,,,0,0,h2,Interface web ou client lourd ?,,,
slack_left_3,,"<p>Ce canal a pour but de faciliter la communication instantanée parmi les membres de notre communauté qui s'élargit de jour en jour. Nous vous demanderons donc de traiter chaque membre de cette communauté avec le respect et la courtoisie qui leur est due. La plupart des personnes présentes sur le canal sont des professionnels du développement Drupal. Nous ne sommes pas une hotline !</p>

<p>Nous vous conseillons aussi d'utiliser le même pseudo sur #drupal-france que celui que vous utilisez sur drupal.fr. Cela facilitera les relations entre le site et le canal Slack.</p>

<p>Voici les règles de conduite à suivre pour obtenir du support :</p>

<ul>
	<li>soyez polis (dites bonjour, merci, ...) ;</li>
	<li>posez votre question immédiatement, n'attendez pas que les gens répondent, ils sont souvent occupés ;</li>
	<li>posez votre question à la communauté, pas à une personne en particulier ;</li>
	<li>faites l'effort de chercher avant de poser une question, respectez les gens qui vous aident : ce n'est pas un canal de gens qui font bénévolement votre travail (si la réponse à votre question peut être obtenue en tapant dans Google ""Drupal"" suivi des mots clés de votre question en français ou en anglais, vous vous exposez à des sanctions) ;</li>
	<li>ne contactez pas une personne en privé sans lui avoir demandé l'autorisation ;</li>
	<li>pour montrer du code, utilisez un service comme http://pastebin.com. Merci de ne pas copier/coller du code directement dans le salon (sauf pour 1 ou 2 lignes) ;</li>
	<li>après la dixième question de suite, demandez-vous si vous n'abusez pas un peu ;</li>
	<li>ne venez pas pour faire votre prospection en recrutement.</li>
</ul>

<p>Rejoignez-nous donc sur #drupal-france pour poser vos questions et par la même occasion rencontrer la communauté de drupal.fr.</p>",full_html,,,,,,0,0,h2,Vous allez entrer sur le canal Slack de l'association Drupal France et Francophonie.,,,
slack_right,,,,https://join.slack.com/t/drupalfrance/shared_invite/enQtNzUwOTQ0NTYwMDA1LTI0NGM1ZTgzOWFhNWI3OWNiZTZhZDdkYjJmNjM1MWJlMDk0YzgwZWJjYTkyMjkxYWQ1YTkwMDZkOGEyMTIwYmU,Rejoindre le slack Drupal France,,,button secondary,0,0,,,,,
