UUID,Type,Value,Created,Language
localize_statistics-47,translations,38849,1310464802,localize_glossary_languages_fr
localize_statistics-48,suggestions,11296,1310464802,localize_glossary_languages_fr
localize_statistics-49,contributors,260,1310554801,localize_glossary_languages_fr
localize_statistics-50,to_translate,291379,1310554801,localize_glossary_languages_fr
localize_statistics-51,translations,38889,1310554801,localize_glossary_languages_fr
localize_statistics-52,suggestions,11238,1310554801,localize_glossary_languages_fr
localize_statistics-53,contributors,264,1310641202,localize_glossary_languages_fr
localize_statistics-54,to_translate,291672,1310641202,localize_glossary_languages_fr
localize_statistics-55,translations,39203,1310641202,localize_glossary_languages_fr
localize_statistics-56,suggestions,10705,1310641202,localize_glossary_languages_fr
localize_statistics-57,contributors,264,1310731201,localize_glossary_languages_fr
localize_statistics-58,to_translate,292174,1310731201,localize_glossary_languages_fr
localize_statistics-59,translations,39251,1310731201,localize_glossary_languages_fr
localize_statistics-60,suggestions,10712,1310731201,localize_glossary_languages_fr
localize_statistics-61,contributors,266,1310821202,localize_glossary_languages_fr
localize_statistics-62,to_translate,292333,1310821202,localize_glossary_languages_fr
localize_statistics-63,translations,39284,1310821202,localize_glossary_languages_fr
localize_statistics-64,suggestions,10636,1310821202,localize_glossary_languages_fr
localize_statistics-65,contributors,266,1310907932,localize_glossary_languages_fr
localize_statistics-66,to_translate,292535,1310907932,localize_glossary_languages_fr
localize_statistics-67,translations,39284,1310907932,localize_glossary_languages_fr
localize_statistics-68,suggestions,10636,1310907932,localize_glossary_languages_fr
localize_statistics-69,contributors,266,1310997601,localize_glossary_languages_fr
localize_statistics-70,to_translate,292614,1310997601,localize_glossary_languages_fr
localize_statistics-71,translations,39374,1310997601,localize_glossary_languages_fr
localize_statistics-72,suggestions,10485,1310997601,localize_glossary_languages_fr
localize_statistics-73,contributors,267,1311087601,localize_glossary_languages_fr
localize_statistics-74,to_translate,292809,1311087601,localize_glossary_languages_fr
localize_statistics-75,translations,39467,1311087601,localize_glossary_languages_fr
localize_statistics-76,suggestions,10242,1311087601,localize_glossary_languages_fr
localize_statistics-77,contributors,267,1311177601,localize_glossary_languages_fr
localize_statistics-78,to_translate,292889,1311177601,localize_glossary_languages_fr
localize_statistics-79,translations,39516,1311177601,localize_glossary_languages_fr
localize_statistics-80,suggestions,10244,1311177601,localize_glossary_languages_fr
localize_statistics-81,contributors,267,1311267601,localize_glossary_languages_fr
localize_statistics-82,to_translate,293389,1311267601,localize_glossary_languages_fr
localize_statistics-83,translations,39549,1311267601,localize_glossary_languages_fr
localize_statistics-84,suggestions,10247,1311267601,localize_glossary_languages_fr
localize_statistics-85,contributors,267,1311357602,localize_glossary_languages_fr
localize_statistics-86,to_translate,294024,1311357602,localize_glossary_languages_fr
localize_statistics-87,translations,39562,1311357602,localize_glossary_languages_fr
localize_statistics-88,suggestions,10263,1311357602,localize_glossary_languages_fr
localize_statistics-89,contributors,268,1311444586,localize_glossary_languages_fr
localize_statistics-90,to_translate,294349,1311444586,localize_glossary_languages_fr
localize_statistics-91,translations,39764,1311444586,localize_glossary_languages_fr
localize_statistics-92,suggestions,10120,1311444586,localize_glossary_languages_fr
localize_statistics-93,contributors,268,1311534001,localize_glossary_languages_fr
localize_statistics-94,to_translate,294622,1311534001,localize_glossary_languages_fr
localize_statistics-95,translations,39900,1311534001,localize_glossary_languages_fr
localize_statistics-96,suggestions,9946,1311534001,localize_glossary_languages_fr
localize_statistics-97,contributors,269,1311624001,localize_glossary_languages_fr
localize_statistics-98,to_translate,295233,1311624001,localize_glossary_languages_fr
localize_statistics-99,translations,39929,1311624001,localize_glossary_languages_fr
localize_statistics-100,suggestions,10352,1311624001,localize_glossary_languages_fr
localize_statistics-101,contributors,269,1311714002,localize_glossary_languages_fr
localize_statistics-102,to_translate,295348,1311714002,localize_glossary_languages_fr
localize_statistics-103,translations,39929,1311714002,localize_glossary_languages_fr
localize_statistics-104,suggestions,10371,1311714002,localize_glossary_languages_fr
localize_statistics-105,contributors,269,1311804001,localize_glossary_languages_fr
localize_statistics-106,to_translate,295519,1311804001,localize_glossary_languages_fr
localize_statistics-107,translations,39929,1311804001,localize_glossary_languages_fr
localize_statistics-108,suggestions,10579,1311804001,localize_glossary_languages_fr
localize_statistics-109,contributors,269,1311894001,localize_glossary_languages_fr
localize_statistics-110,to_translate,295752,1311894001,localize_glossary_languages_fr
localize_statistics-111,translations,40079,1311894001,localize_glossary_languages_fr
localize_statistics-112,suggestions,10421,1311894001,localize_glossary_languages_fr
localize_statistics-113,contributors,269,1311984001,localize_glossary_languages_fr
localize_statistics-114,to_translate,295840,1311984001,localize_glossary_languages_fr
localize_statistics-115,translations,40100,1311984001,localize_glossary_languages_fr
localize_statistics-116,suggestions,10385,1311984001,localize_glossary_languages_fr
localize_statistics-117,contributors,269,1312074002,localize_glossary_languages_fr
localize_statistics-118,to_translate,295989,1312074002,localize_glossary_languages_fr
localize_statistics-119,translations,40112,1312074002,localize_glossary_languages_fr
localize_statistics-120,suggestions,10426,1312074002,localize_glossary_languages_fr
localize_statistics-121,contributors,269,1312164001,localize_glossary_languages_fr
localize_statistics-122,to_translate,296142,1312164001,localize_glossary_languages_fr
localize_statistics-123,translations,40112,1312164001,localize_glossary_languages_fr
localize_statistics-124,suggestions,10428,1312164001,localize_glossary_languages_fr
localize_statistics-125,contributors,269,1312250402,localize_glossary_languages_fr
localize_statistics-126,to_translate,296306,1312250402,localize_glossary_languages_fr
localize_statistics-127,translations,40162,1312250402,localize_glossary_languages_fr
localize_statistics-128,suggestions,10406,1312250402,localize_glossary_languages_fr
localize_statistics-129,contributors,269,1312340401,localize_glossary_languages_fr
localize_statistics-130,to_translate,296486,1312340401,localize_glossary_languages_fr
localize_statistics-131,translations,40206,1312340401,localize_glossary_languages_fr
localize_statistics-132,suggestions,10264,1312340401,localize_glossary_languages_fr
localize_statistics-133,contributors,269,1312426802,localize_glossary_languages_fr
localize_statistics-134,to_translate,296667,1312426802,localize_glossary_languages_fr
localize_statistics-135,translations,40210,1312426802,localize_glossary_languages_fr
localize_statistics-136,suggestions,10383,1312426802,localize_glossary_languages_fr
localize_statistics-137,contributors,269,1312516801,localize_glossary_languages_fr
localize_statistics-138,to_translate,296927,1312516801,localize_glossary_languages_fr
localize_statistics-139,translations,40244,1312516801,localize_glossary_languages_fr
localize_statistics-140,suggestions,10374,1312516801,localize_glossary_languages_fr
localize_statistics-141,contributors,269,1312606801,localize_glossary_languages_fr
localize_statistics-142,to_translate,297033,1312606801,localize_glossary_languages_fr
localize_statistics-143,translations,40418,1312606801,localize_glossary_languages_fr
localize_statistics-144,suggestions,10197,1312606801,localize_glossary_languages_fr
localize_statistics-145,contributors,269,1312696801,localize_glossary_languages_fr
localize_statistics-146,to_translate,297178,1312696801,localize_glossary_languages_fr
localize_statistics-147,translations,40418,1312696801,localize_glossary_languages_fr
localize_statistics-148,suggestions,10306,1312696801,localize_glossary_languages_fr
localize_statistics-149,contributors,270,1312783202,localize_glossary_languages_fr
localize_statistics-150,to_translate,297402,1312783202,localize_glossary_languages_fr
localize_statistics-151,translations,40516,1312783202,localize_glossary_languages_fr
localize_statistics-152,suggestions,10228,1312783202,localize_glossary_languages_fr
localize_statistics-153,contributors,271,1312873201,localize_glossary_languages_fr
localize_statistics-154,to_translate,297559,1312873201,localize_glossary_languages_fr
localize_statistics-155,translations,40617,1312873201,localize_glossary_languages_fr
localize_statistics-156,suggestions,10053,1312873201,localize_glossary_languages_fr
localize_statistics-157,contributors,271,1312963007,localize_glossary_languages_fr
localize_statistics-158,to_translate,297699,1312963007,localize_glossary_languages_fr
localize_statistics-159,translations,40917,1312963007,localize_glossary_languages_fr
localize_statistics-160,suggestions,9728,1312963007,localize_glossary_languages_fr
localize_statistics-161,contributors,271,1313049601,localize_glossary_languages_fr
localize_statistics-162,to_translate,297874,1313049601,localize_glossary_languages_fr
localize_statistics-163,translations,40962,1313049601,localize_glossary_languages_fr
localize_statistics-164,suggestions,9794,1313049601,localize_glossary_languages_fr
localize_statistics-165,contributors,271,1313139601,localize_glossary_languages_fr
localize_statistics-166,to_translate,298027,1313139601,localize_glossary_languages_fr
localize_statistics-167,translations,41029,1313139601,localize_glossary_languages_fr
localize_statistics-168,suggestions,9708,1313139601,localize_glossary_languages_fr
localize_statistics-169,contributors,273,1313226002,localize_glossary_languages_fr
localize_statistics-170,to_translate,298203,1313226002,localize_glossary_languages_fr
localize_statistics-171,translations,41572,1313226002,localize_glossary_languages_fr
localize_statistics-172,suggestions,9207,1313226002,localize_glossary_languages_fr
localize_statistics-173,contributors,275,1313337602,localize_glossary_languages_fr
localize_statistics-174,to_translate,298278,1313337602,localize_glossary_languages_fr
localize_statistics-175,translations,41737,1313337602,localize_glossary_languages_fr
localize_statistics-176,suggestions,9187,1313337602,localize_glossary_languages_fr
localize_statistics-177,contributors,275,1313427601,localize_glossary_languages_fr
localize_statistics-178,to_translate,298324,1313427601,localize_glossary_languages_fr
localize_statistics-179,translations,42190,1313427601,localize_glossary_languages_fr
localize_statistics-180,suggestions,8902,1313427601,localize_glossary_languages_fr
localize_statistics-181,contributors,275,1313514002,localize_glossary_languages_fr
localize_statistics-182,to_translate,298516,1313514002,localize_glossary_languages_fr
localize_statistics-183,translations,42298,1313514002,localize_glossary_languages_fr
localize_statistics-184,suggestions,8789,1313514002,localize_glossary_languages_fr
localize_statistics-185,contributors,275,1313604001,localize_glossary_languages_fr
localize_statistics-186,to_translate,298900,1313604001,localize_glossary_languages_fr
localize_statistics-187,translations,42378,1313604001,localize_glossary_languages_fr
localize_statistics-188,suggestions,8739,1313604001,localize_glossary_languages_fr
localize_statistics-189,contributors,277,1313694001,localize_glossary_languages_fr
localize_statistics-190,to_translate,299171,1313694001,localize_glossary_languages_fr
localize_statistics-191,translations,42678,1313694001,localize_glossary_languages_fr
localize_statistics-192,suggestions,8934,1313694001,localize_glossary_languages_fr
localize_statistics-193,contributors,277,1313780402,localize_glossary_languages_fr
localize_statistics-194,to_translate,299583,1313780402,localize_glossary_languages_fr
localize_statistics-195,translations,42808,1313780402,localize_glossary_languages_fr
localize_statistics-196,suggestions,9034,1313780402,localize_glossary_languages_fr
localize_statistics-197,contributors,277,1313870401,localize_glossary_languages_fr
localize_statistics-198,to_translate,299689,1313870401,localize_glossary_languages_fr
localize_statistics-199,translations,42808,1313870401,localize_glossary_languages_fr
localize_statistics-200,suggestions,9105,1313870401,localize_glossary_languages_fr
localize_statistics-201,contributors,277,1313960401,localize_glossary_languages_fr
localize_statistics-202,to_translate,299758,1313960401,localize_glossary_languages_fr
localize_statistics-203,translations,42808,1313960401,localize_glossary_languages_fr
localize_statistics-204,suggestions,9108,1313960401,localize_glossary_languages_fr
localize_statistics-205,contributors,277,1314050401,localize_glossary_languages_fr
localize_statistics-206,to_translate,299983,1314050401,localize_glossary_languages_fr
localize_statistics-207,translations,42811,1314050401,localize_glossary_languages_fr
localize_statistics-208,suggestions,9105,1314050401,localize_glossary_languages_fr
localize_statistics-209,contributors,277,1314140401,localize_glossary_languages_fr
localize_statistics-210,to_translate,300309,1314140401,localize_glossary_languages_fr
localize_statistics-211,translations,42874,1314140401,localize_glossary_languages_fr
localize_statistics-212,suggestions,9069,1314140401,localize_glossary_languages_fr
localize_statistics-213,contributors,277,1314230401,localize_glossary_languages_fr
localize_statistics-214,to_translate,300478,1314230401,localize_glossary_languages_fr
localize_statistics-215,translations,42877,1314230401,localize_glossary_languages_fr
localize_statistics-216,suggestions,9108,1314230401,localize_glossary_languages_fr
localize_statistics-217,contributors,277,1314320401,localize_glossary_languages_fr
localize_statistics-218,to_translate,300587,1314320401,localize_glossary_languages_fr
localize_statistics-219,translations,42877,1314320401,localize_glossary_languages_fr
localize_statistics-220,suggestions,9853,1314320401,localize_glossary_languages_fr
localize_statistics-221,contributors,277,1314410401,localize_glossary_languages_fr
localize_statistics-222,to_translate,300733,1314410401,localize_glossary_languages_fr
localize_statistics-223,translations,42902,1314410401,localize_glossary_languages_fr
localize_statistics-224,suggestions,9859,1314410401,localize_glossary_languages_fr
localize_statistics-225,contributors,278,1314500402,localize_glossary_languages_fr
localize_statistics-226,to_translate,300933,1314500402,localize_glossary_languages_fr
localize_statistics-227,translations,42912,1314500402,localize_glossary_languages_fr
localize_statistics-228,suggestions,9799,1314500402,localize_glossary_languages_fr
localize_statistics-229,contributors,278,1314590401,localize_glossary_languages_fr
localize_statistics-230,to_translate,301172,1314590401,localize_glossary_languages_fr
localize_statistics-231,translations,42913,1314590401,localize_glossary_languages_fr
localize_statistics-232,suggestions,9799,1314590401,localize_glossary_languages_fr
localize_statistics-233,contributors,278,1314680401,localize_glossary_languages_fr
localize_statistics-234,to_translate,301324,1314680401,localize_glossary_languages_fr
localize_statistics-235,translations,42939,1314680401,localize_glossary_languages_fr
localize_statistics-236,suggestions,9625,1314680401,localize_glossary_languages_fr
localize_statistics-237,contributors,278,1314770401,localize_glossary_languages_fr
localize_statistics-238,to_translate,301554,1314770401,localize_glossary_languages_fr
localize_statistics-239,translations,43169,1314770401,localize_glossary_languages_fr
localize_statistics-240,suggestions,9236,1314770401,localize_glossary_languages_fr
localize_statistics-241,contributors,278,1314860401,localize_glossary_languages_fr
localize_statistics-242,to_translate,301735,1314860401,localize_glossary_languages_fr
localize_statistics-243,translations,43290,1314860401,localize_glossary_languages_fr
localize_statistics-244,suggestions,9178,1314860401,localize_glossary_languages_fr
localize_statistics-245,contributors,278,1314950401,localize_glossary_languages_fr
localize_statistics-246,to_translate,301878,1314950401,localize_glossary_languages_fr
localize_statistics-247,translations,43310,1314950401,localize_glossary_languages_fr
localize_statistics-248,suggestions,9177,1314950401,localize_glossary_languages_fr
localize_statistics-249,contributors,278,1315040401,localize_glossary_languages_fr
localize_statistics-250,to_translate,301916,1315040401,localize_glossary_languages_fr
localize_statistics-251,translations,43315,1315040401,localize_glossary_languages_fr
localize_statistics-252,suggestions,9159,1315040401,localize_glossary_languages_fr
localize_statistics-253,contributors,279,1315130401,localize_glossary_languages_fr
localize_statistics-254,to_translate,301935,1315130401,localize_glossary_languages_fr
localize_statistics-255,translations,43451,1315130401,localize_glossary_languages_fr
localize_statistics-256,suggestions,8814,1315130401,localize_glossary_languages_fr
localize_statistics-257,contributors,280,1315216802,localize_glossary_languages_fr
localize_statistics-258,to_translate,302158,1315216802,localize_glossary_languages_fr
localize_statistics-259,translations,43501,1315216802,localize_glossary_languages_fr
localize_statistics-260,suggestions,8770,1315216802,localize_glossary_languages_fr
localize_statistics-261,contributors,279,1315297814,localize_glossary_languages_fr
localize_statistics-262,to_translate,302294,1315297814,localize_glossary_languages_fr
localize_statistics-263,translations,43557,1315297814,localize_glossary_languages_fr
localize_statistics-264,suggestions,8397,1315297814,localize_glossary_languages_fr
localize_statistics-265,contributors,279,1315350001,localize_glossary_languages_fr
localize_statistics-266,to_translate,302411,1315350001,localize_glossary_languages_fr
localize_statistics-267,translations,43584,1315350001,localize_glossary_languages_fr
localize_statistics-268,suggestions,7799,1315350001,localize_glossary_languages_fr
localize_statistics-269,contributors,280,1315436401,localize_glossary_languages_fr
localize_statistics-270,to_translate,302805,1315436401,localize_glossary_languages_fr
localize_statistics-271,translations,43779,1315436401,localize_glossary_languages_fr
localize_statistics-272,suggestions,7651,1315436401,localize_glossary_languages_fr
localize_statistics-273,contributors,280,1315522801,localize_glossary_languages_fr
localize_statistics-274,to_translate,303030,1315522801,localize_glossary_languages_fr
localize_statistics-275,translations,43837,1315522801,localize_glossary_languages_fr
localize_statistics-276,suggestions,7460,1315522801,localize_glossary_languages_fr
localize_statistics-277,contributors,281,1315609201,localize_glossary_languages_fr
localize_statistics-278,to_translate,303237,1315609201,localize_glossary_languages_fr
localize_statistics-279,translations,44034,1315609201,localize_glossary_languages_fr
localize_statistics-280,suggestions,7232,1315609201,localize_glossary_languages_fr
localize_statistics-281,contributors,281,1315695601,localize_glossary_languages_fr
localize_statistics-282,to_translate,303643,1315695601,localize_glossary_languages_fr
localize_statistics-283,translations,44325,1315695601,localize_glossary_languages_fr
localize_statistics-284,suggestions,6875,1315695601,localize_glossary_languages_fr
localize_statistics-285,contributors,282,1315782001,localize_glossary_languages_fr
localize_statistics-286,to_translate,303682,1315782001,localize_glossary_languages_fr
localize_statistics-287,translations,44528,1315782001,localize_glossary_languages_fr
localize_statistics-288,suggestions,6625,1315782001,localize_glossary_languages_fr
localize_statistics-289,contributors,282,1315868402,localize_glossary_languages_fr
localize_statistics-290,to_translate,303846,1315868402,localize_glossary_languages_fr
localize_statistics-291,translations,44563,1315868402,localize_glossary_languages_fr
localize_statistics-292,suggestions,6629,1315868402,localize_glossary_languages_fr
localize_statistics-293,contributors,282,1315954801,localize_glossary_languages_fr
localize_statistics-294,to_translate,304355,1315954801,localize_glossary_languages_fr
localize_statistics-295,translations,44673,1315954801,localize_glossary_languages_fr
localize_statistics-296,suggestions,6535,1315954801,localize_glossary_languages_fr
localize_statistics-297,contributors,283,1316041201,localize_glossary_languages_fr
localize_statistics-298,to_translate,304541,1316041201,localize_glossary_languages_fr
localize_statistics-299,translations,44722,1316041201,localize_glossary_languages_fr
localize_statistics-300,suggestions,6472,1316041201,localize_glossary_languages_fr
localize_statistics-301,contributors,283,1316127602,localize_glossary_languages_fr
localize_statistics-302,to_translate,304652,1316127602,localize_glossary_languages_fr
localize_statistics-303,translations,44793,1316127602,localize_glossary_languages_fr
localize_statistics-304,suggestions,6627,1316127602,localize_glossary_languages_fr
localize_statistics-305,contributors,283,1316214001,localize_glossary_languages_fr
localize_statistics-306,to_translate,304897,1316214001,localize_glossary_languages_fr
localize_statistics-307,translations,44793,1316214001,localize_glossary_languages_fr
localize_statistics-308,suggestions,6677,1316214001,localize_glossary_languages_fr
localize_statistics-309,contributors,284,1316300401,localize_glossary_languages_fr
localize_statistics-310,to_translate,305043,1316300401,localize_glossary_languages_fr
localize_statistics-311,translations,44801,1316300401,localize_glossary_languages_fr
localize_statistics-312,suggestions,6469,1316300401,localize_glossary_languages_fr
localize_statistics-313,contributors,285,1316386801,localize_glossary_languages_fr
localize_statistics-314,to_translate,305093,1316386801,localize_glossary_languages_fr
localize_statistics-315,translations,44855,1316386801,localize_glossary_languages_fr
localize_statistics-316,suggestions,6301,1316386801,localize_glossary_languages_fr
localize_statistics-317,contributors,285,1316473201,localize_glossary_languages_fr
localize_statistics-318,to_translate,305484,1316473201,localize_glossary_languages_fr
localize_statistics-319,translations,44884,1316473201,localize_glossary_languages_fr
localize_statistics-320,suggestions,6153,1316473201,localize_glossary_languages_fr
localize_statistics-321,contributors,287,1316559601,localize_glossary_languages_fr
localize_statistics-322,to_translate,305685,1316559601,localize_glossary_languages_fr
localize_statistics-323,translations,45167,1316559601,localize_glossary_languages_fr
localize_statistics-324,suggestions,5858,1316559601,localize_glossary_languages_fr
localize_statistics-325,contributors,287,1316646001,localize_glossary_languages_fr
localize_statistics-326,to_translate,306025,1316646001,localize_glossary_languages_fr
localize_statistics-327,translations,45253,1316646001,localize_glossary_languages_fr
localize_statistics-328,suggestions,5765,1316646001,localize_glossary_languages_fr
localize_statistics-329,contributors,288,1316732401,localize_glossary_languages_fr
localize_statistics-330,to_translate,306437,1316732401,localize_glossary_languages_fr
localize_statistics-331,translations,45347,1316732401,localize_glossary_languages_fr
localize_statistics-332,suggestions,5555,1316732401,localize_glossary_languages_fr
localize_statistics-333,contributors,288,1316818801,localize_glossary_languages_fr
localize_statistics-334,to_translate,306731,1316818801,localize_glossary_languages_fr
localize_statistics-335,translations,45461,1316818801,localize_glossary_languages_fr
localize_statistics-336,suggestions,5444,1316818801,localize_glossary_languages_fr
localize_statistics-337,contributors,289,1316905201,localize_glossary_languages_fr
localize_statistics-338,to_translate,306902,1316905201,localize_glossary_languages_fr
localize_statistics-339,translations,45538,1316905201,localize_glossary_languages_fr
localize_statistics-340,suggestions,5293,1316905201,localize_glossary_languages_fr
localize_statistics-341,contributors,290,1316991601,localize_glossary_languages_fr
localize_statistics-342,to_translate,307197,1316991601,localize_glossary_languages_fr
localize_statistics-343,translations,45690,1316991601,localize_glossary_languages_fr
localize_statistics-344,suggestions,5126,1316991601,localize_glossary_languages_fr
localize_statistics-345,contributors,290,1317078001,localize_glossary_languages_fr
localize_statistics-346,to_translate,307390,1317078001,localize_glossary_languages_fr
localize_statistics-347,translations,45690,1317078001,localize_glossary_languages_fr
localize_statistics-348,suggestions,5237,1317078001,localize_glossary_languages_fr
localize_statistics-349,contributors,290,1317164401,localize_glossary_languages_fr
localize_statistics-350,to_translate,307578,1317164401,localize_glossary_languages_fr
localize_statistics-351,translations,45690,1317164401,localize_glossary_languages_fr
localize_statistics-352,suggestions,5452,1317164401,localize_glossary_languages_fr
localize_statistics-353,contributors,290,1317250801,localize_glossary_languages_fr
localize_statistics-354,to_translate,307919,1317250801,localize_glossary_languages_fr
localize_statistics-355,translations,45690,1317250801,localize_glossary_languages_fr
localize_statistics-356,suggestions,5750,1317250801,localize_glossary_languages_fr
localize_statistics-357,contributors,290,1317337201,localize_glossary_languages_fr
localize_statistics-358,to_translate,308048,1317337201,localize_glossary_languages_fr
localize_statistics-359,translations,45690,1317337201,localize_glossary_languages_fr
localize_statistics-360,suggestions,5872,1317337201,localize_glossary_languages_fr
localize_statistics-361,contributors,290,1317423601,localize_glossary_languages_fr
localize_statistics-362,to_translate,308217,1317423601,localize_glossary_languages_fr
localize_statistics-363,translations,45690,1317423601,localize_glossary_languages_fr
localize_statistics-364,suggestions,6207,1317423601,localize_glossary_languages_fr
localize_statistics-365,contributors,290,1317510001,localize_glossary_languages_fr
localize_statistics-366,to_translate,308343,1317510001,localize_glossary_languages_fr
localize_statistics-367,translations,45729,1317510001,localize_glossary_languages_fr
localize_statistics-368,suggestions,6157,1317510001,localize_glossary_languages_fr
localize_statistics-369,contributors,290,1317596401,localize_glossary_languages_fr
localize_statistics-370,to_translate,308452,1317596401,localize_glossary_languages_fr
localize_statistics-371,translations,45786,1317596401,localize_glossary_languages_fr
localize_statistics-372,suggestions,6108,1317596401,localize_glossary_languages_fr
localize_statistics-373,contributors,290,1317682802,localize_glossary_languages_fr
localize_statistics-374,to_translate,308669,1317682802,localize_glossary_languages_fr
localize_statistics-375,translations,45786,1317682802,localize_glossary_languages_fr
localize_statistics-376,suggestions,6222,1317682802,localize_glossary_languages_fr
localize_statistics-377,contributors,290,1317769201,localize_glossary_languages_fr
localize_statistics-378,to_translate,308997,1317769201,localize_glossary_languages_fr
localize_statistics-379,translations,45789,1317769201,localize_glossary_languages_fr
localize_statistics-380,suggestions,6230,1317769201,localize_glossary_languages_fr
localize_statistics-381,contributors,290,1317855601,localize_glossary_languages_fr
localize_statistics-382,to_translate,309205,1317855601,localize_glossary_languages_fr
localize_statistics-383,translations,45843,1317855601,localize_glossary_languages_fr
localize_statistics-384,suggestions,6184,1317855601,localize_glossary_languages_fr
localize_statistics-385,contributors,290,1317942001,localize_glossary_languages_fr
localize_statistics-386,to_translate,309297,1317942001,localize_glossary_languages_fr
localize_statistics-387,translations,45850,1317942001,localize_glossary_languages_fr
localize_statistics-388,suggestions,6381,1317942001,localize_glossary_languages_fr
localize_statistics-389,contributors,290,1318028401,localize_glossary_languages_fr
localize_statistics-390,to_translate,309701,1318028401,localize_glossary_languages_fr
localize_statistics-391,translations,45867,1318028401,localize_glossary_languages_fr
localize_statistics-392,suggestions,6396,1318028401,localize_glossary_languages_fr
localize_statistics-393,contributors,290,1318114801,localize_glossary_languages_fr
localize_statistics-394,to_translate,309923,1318114801,localize_glossary_languages_fr
localize_statistics-395,translations,45867,1318114801,localize_glossary_languages_fr
localize_statistics-396,suggestions,6396,1318114801,localize_glossary_languages_fr
localize_statistics-397,contributors,290,1318201201,localize_glossary_languages_fr
localize_statistics-398,to_translate,310115,1318201201,localize_glossary_languages_fr
localize_statistics-399,translations,45867,1318201201,localize_glossary_languages_fr
localize_statistics-400,suggestions,6397,1318201201,localize_glossary_languages_fr
localize_statistics-401,contributors,290,1318287601,localize_glossary_languages_fr
localize_statistics-402,to_translate,310442,1318287601,localize_glossary_languages_fr
localize_statistics-403,translations,45867,1318287601,localize_glossary_languages_fr
localize_statistics-404,suggestions,6451,1318287601,localize_glossary_languages_fr
localize_statistics-405,contributors,290,1318374001,localize_glossary_languages_fr
localize_statistics-406,to_translate,310840,1318374001,localize_glossary_languages_fr
localize_statistics-407,translations,45867,1318374001,localize_glossary_languages_fr
localize_statistics-408,suggestions,6537,1318374001,localize_glossary_languages_fr
localize_statistics-409,contributors,290,1318460401,localize_glossary_languages_fr
localize_statistics-410,to_translate,311095,1318460401,localize_glossary_languages_fr
